,id,Country,Year,Population,indexreg,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stuntihme,sdg2_wasteihme,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_fplmodel,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_cpi,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_sprofits,sdg17_statperf
8,AFG,Afghanistan,2008,27722281.0,E. Europe & C. Asia,,,,26.5,,,3.6,2.227,1.455,0.653,1030.0,50.3,95.7,189.0,0.02,39.41,15.01,,90.0,24.0,59.0,,3.7,,,,,,,,,,,,,,19.732,27.686,,43.311,31.874,,,42.4,16.4,5.797,,,11.093,,0.02,,,1.84,0.0,,0.001,,,,,,,,,,,26.417,42.0,,,,,,0.151,,,,,,,,0.0,0.0,0.837,,,,,,,,,,,,8.053,,
31,ALB,Albania,2008,3002683.0,E. Europe & C. Asia,,,,7.3,,,17.0,2.379,4.081,0.903,20.0,8.3,15.8,16.0,0.03,20.78,14.49,,18.4,,98.0,,,,,,65.032,88.898,91.073,98.831,,,,,,,74.304,7.143,,90.476,94.076,,,100.0,61.0,1.023,26.103,,13.06,,0.259,,,23.86,,,0.035,0.154,,,,,30.0,,,,,92.359,57.0,,,,,,1.423,,,38.69,,,79.782,23.732,35.601,75.173,0.869,,3.1,39.605,,,,,,,5.547,,,,
54,DZA,Algeria,2008,34730604.0,MENA,,,,5.6,,,22.0,2.233,1.034,0.742,117.0,18.9,29.5,74.0,0.02,15.75,22.41,,8.8,,88.0,,,,,,43.376,97.269,55.279,93.767,,,,,,,19.848,7.712,,91.843,86.534,,,99.3,98.9,2.802,0.19,,11.33,,0.159,,,10.18,,,0.072,,,,,,,,,,,84.741,,,,,,,3.139,,,74.441,,2.21,25.733,9.016,33.179,68.374,0.911,,0.94,,,,,,,,7.362,,,,
77,AND,Andorra,2008,83860.0,E. Europe & C. Asia,,,,,,,24.0,,,,,2.5,5.1,5.5,,,,,8.4,,98.0,,,,,,,,,,,,,,,,,25.0,,100.0,100.0,,,100.0,100.0,,,,,,1.867,,,70.04,,,0.048,,,,,,,,,,,100.0,,,,,,,6.423,,,,,,,,17.89,,0.912,,1.19,45.205,,,,,,,6.674,,,,
100,AGO,Angola,2008,21695636.0,Sub-Saharan Africa,,,,42.9,,,5.6,2.13,0.653,0.924,395.0,39.0,137.7,382.0,1.4,25.77,24.96,,188.0,,48.0,,,,,,63.833,82.447,17.373,,,,,,,,95.76,37.273,,48.77,38.528,,,38.49,43.8,4.553,56.591,,3.793,,0.119,,,1.9,,,0.002,,,,,,42.7,,,,,44.317,,,,,,,1.175,,,66.58,,8.1,37.916,7.639,28.054,42.834,0.929,,,,,,,,,,4.42,,42.668,,
123,ATG,Antigua and Barbuda,2008,85394.0,LAC,,,,,,,15.5,2.475,1.619,1.318,50.0,6.8,11.1,1.3,,19.79,11.18,,59.2,100.0,99.0,,,,,,97.19,99.349,87.831,,,,,,,,,10.526,,97.322,85.545,,,100.0,100.0,1.542,,,,,1.17,,,38.0,0.0,,0.117,,,,,,,,,,,,,,,,,,4.891,,,28.73,,23.13,,,19.368,,0.913,,18.74,,,,,,,,5.53,,,,
146,ARG,Argentina,2008,40080159.0,LAC,,,,3.3,,,24.4,2.438,4.102,0.334,53.0,8.1,15.3,26.0,0.15,17.99,14.82,,65.4,94.8,93.0,,6.0,,,,98.356,99.817,76.436,,,,,,,,65.433,40.0,,98.04,91.448,,,97.641,98.5,1.616,6.123,,7.84,,0.346,,,28.113,,,0.214,0.471,,,,,44.9,,,,,96.092,43.0,,,,,,4.693,,,36.943,,21.96,51.206,7.07,27.979,35.378,0.846,,5.92,57.555,,,,,,,9.353,,18.972,,
169,ARM,Armenia,2008,2907615.0,E. Europe & C. Asia,,,,5.6,,,16.7,2.255,2.405,0.618,36.0,10.7,20.3,71.0,0.13,26.72,17.33,,24.7,99.9,89.0,,4.7,,,,,,90.426,,,,,,,,71.287,8.397,,97.582,90.088,,,99.225,95.2,0.946,5.432,,14.393,,0.153,,,6.21,,,0.212,0.224,,,,,29.2,,,,,98.363,62.0,,,,,,1.917,,,,,,,,15.052,24.977,0.829,,3.34,24.329,,,,,,,4.661,,22.86,,
192,AUS,Australia,2008,21332293.0,OECD,,,,2.5,,,24.6,2.448,1.333,0.641,5.0,2.9,5.2,6.5,0.04,10.47,7.12,,18.4,99.1,92.0,,7.3,10.5,,,52.856,99.1,,,41.997,,,,,,80.625,26.667,11.937,99.843,99.991,,78.833,100.0,100.0,1.674,5.612,,,,2.854,73.204,10.411,71.67,,,2.42,2.404,8.612,14.839,57.0,31.084,35.4,,,0.0,,90.047,47.0,,,,,1.04,19.203,,,49.551,,40.078,18.959,8.952,42.033,28.834,0.855,,1.22,22.329,,,,,,133.103,10.609,0.32,,,
215,AUT,Austria,2008,8341525.0,OECD,,,9.3,2.5,,,16.9,2.378,6.807,0.411,5.0,2.6,4.5,10.0,1.0,12.11,8.39,,11.3,98.6,83.0,,7.2,2.0,24.4,,96.712,97.113,100.707,,32.681,,,,,,79.132,27.322,20.917,100.0,99.989,98.105,99.653,100.0,100.0,1.078,25.438,,,,2.331,70.825,10.653,72.87,11.629,,1.92,2.569,8.439,40.742,27.481,,30.4,0.99,12.7,0.0,,,58.0,,,,,0.581,8.808,,,,,,,,64.14,68.81,0.895,,0.7,22.83,,,,,,98.879,12.44,0.43,,,
238,AZE,Azerbaijan,2008,8821869.0,E. Europe & C. Asia,,,,2.5,,,15.7,2.198,2.741,0.647,32.0,22.8,42.7,108.0,0.09,30.66,13.27,,50.2,98.0,79.0,,4.8,,,,26.401,86.674,88.079,,,,,,,,87.146,11.382,,83.433,79.725,,,99.71,91.1,1.584,1.994,,5.86,,0.104,,,17.08,0.0,,0.068,0.166,,,,,,,,,,87.435,60.0,,,,,,4.018,,,,,,,,34.989,12.705,0.912,,2.18,10.74,,,,,,,3.305,,49.302,,
261,BHS,"Bahamas, The",2008,343680.0,LAC,,,,,,,27.6,2.353,4.762,1.135,77.0,8.5,16.2,16.0,0.61,20.16,14.53,,39.8,99.0,90.0,,,,,,,,99.809,,,,,,,,88.101,12.195,,98.588,91.78,,,100.0,100.0,1.151,,,8.18,,0.578,,,31.54,,,0.047,,,,,,,,,,,,,,,,,,5.576,,,8.119,,30.44,,,11.094,0.0,0.719,,21.24,,,,,,,,4.317,,,,
284,BHR,Bahrain,2008,1114645.0,MENA,,,,,,,25.8,,,0.819,18.0,3.2,9.3,31.0,1.0,20.02,13.55,,12.3,97.5,97.0,,,,,,,,95.628,,,,,,,,48.046,2.5,,99.97,99.976,,,100.0,100.0,1.399,0.0,,1.107,,1.519,,,51.95,1.484,,0.232,,,,,,,,,,,,,,,,,,26.628,,,0.0,,,,20.911,0.0,,0.787,,0.54,,,,,,,,4.667,,,,
307,BGD,Bangladesh,2008,144304164.0,East & South Asia,,,,13.6,,,2.2,2.146,4.103,0.721,280.0,31.8,54.7,221.0,1.0,22.72,16.86,,,,92.0,,5.1,,,,,95.724,,,,,,,,,35.064,6.333,,96.086,35.89,,,54.331,11.1,1.38,31.721,,4.567,,0.05,,,2.5,,,0.012,,,,,,,,,,,33.047,74.0,,,,,,0.314,,,34.374,,0.86,12.944,6.907,31.872,0.0,0.796,,2.84,,,,,,,,2.586,,9.513,,
330,BRB,Barbados,2008,279946.0,LAC,,,,4.9,,,18.9,2.366,2.741,1.204,39.0,10.1,15.3,1.2,1.0,16.67,6.07,,,100.0,85.0,,,,,,97.436,98.751,99.054,,,,,,,,85.258,10.0,,98.404,92.855,,,100.0,100.0,1.454,,,8.12,,0.958,,,61.4,0.0,,0.307,,,,,,,,,,,,,,,,,,5.759,,,2.851,,52.17,,1.0,1.754,,0.91,,8.22,34.13,,,,,,,8.506,,,,
353,BLR,Belarus,2008,9452855.0,E. Europe & C. Asia,,,,2.5,,,21.6,2.309,3.55,0.839,6.0,2.2,6.6,68.0,0.2,30.88,23.86,,22.3,99.9,97.0,,5.5,,,,96.21,99.338,104.488,,,,,,,,81.64,31.818,,98.059,94.265,,,100.0,98.2,1.869,5.02,,7.032,,0.009,,,23.0,,,0.153,0.741,,,,,27.8,,,,,95.104,63.0,,,,,,6.923,,,,,,,,33.904,39.709,0.957,,5.84,10.141,,,,,,,8.635,,38.892,,
376,BEL,Belgium,2008,10778764.0,OECD,,,,2.5,,,19.5,2.407,8.886,0.73,7.0,2.5,4.6,10.0,1.0,13.22,9.42,,10.3,,93.0,,7.1,2.5,30.5,20.5,98.115,98.801,83.713,,42.271,,,,,,77.091,35.333,8.916,100.0,99.486,99.418,78.25,100.0,100.0,1.282,3.295,,,,2.377,62.4,12.107,66.0,3.419,,2.047,1.937,8.224,42.477,48.716,26.201,28.4,,,0.0,,100.0,64.0,,,,,0.593,11.15,,,94.007,,,27.959,28.739,72.88,83.138,0.982,,,,,,,,,91.458,13.603,0.48,,,
399,BLZ,Belize,2008,306822.0,LAC,,,,7.1,,,20.0,2.215,2.427,0.915,59.0,8.4,19.9,33.0,0.69,16.28,33.76,,,94.9,94.0,,,,,,73.799,96.45,55.327,,,,,,,,55.616,0.0,,92.637,85.0,,,86.026,83.6,1.891,,,8.18,,0.391,,,26.3,,,0.029,,,,,,,,,,,86.411,,,,,,,1.421,,,27.151,,,,12.053,41.072,15.252,0.785,,33.57,,,,,,,,9.527,,25.36,,
422,BEN,Benin,2008,8696915.0,Sub-Saharan Africa,,,,9.0,,,7.0,2.106,1.159,0.779,480.0,34.6,113.7,69.0,0.69,24.14,27.64,,,,66.0,,3.7,,,,,90.136,,,,,,,19.9,,89.994,10.843,,63.702,11.984,,,29.061,3.4,17.28,59.192,,0.942,,0.04,,,1.85,,,0.024,,,,,,,,,,,60.107,32.0,,,,,,0.451,,,0.0,,,,0.001,66.664,0.001,0.905,,,,,,,,,,3.34,,,,
445,BTN,Bhutan,2008,671611.0,East & South Asia,,,,,,,4.1,,2.741,0.784,264.0,24.4,47.8,179.0,0.17,20.18,15.19,,,66.3,96.0,,,,,,,80.377,49.329,,,,,,,,88.864,8.511,,90.805,59.489,,,67.565,58.0,0.048,,,3.655,,0.335,,,6.55,,,0.025,,,,,,,,,,,98.869,,,,,,,0.598,,,,,,,,45.411,30.472,0.801,,2.68,,,,,,,,7.249,,23.113,,
468,BOL,Bolivia,2008,9721457.0,LAC,,,,24.7,,,16.5,2.259,2.016,0.558,234.0,23.7,46.9,144.0,0.11,18.15,17.2,,,71.1,88.0,,5.3,,,,57.461,99.747,92.979,99.123,,,,,,,76.014,16.923,,85.893,44.801,,,84.675,73.1,2.197,15.687,,2.6,,0.108,,,12.5,0.587,,0.024,,,,,,50.8,,,,,89.85,70.0,,,,,,1.394,,,,,,,,48.107,58.679,0.885,,,70.496,,,,,,,,,,,
491,BIH,Bosnia and Herzegovina,2008,3754261.0,E. Europe & C. Asia,,,,2.5,,,14.9,2.257,4.427,0.864,11.0,5.3,7.9,57.0,1.0,20.64,17.13,,15.8,99.9,84.0,,,,,,,,,,,,,,,,56.145,11.905,,96.811,95.184,,,100.0,46.4,1.397,10.053,,23.41,,0.168,,,34.66,,,0.137,0.018,,,,,,,,,,97.037,56.0,,,,,,5.316,,,,,,,1.102,28.872,99.958,0.899,,1.76,,,,,,,,,,37.878,,
514,BWA,Botswana,2008,1915636.0,Sub-Saharan Africa,,,,30.9,,,16.2,2.257,0.361,1.227,203.0,22.0,57.6,598.0,9.3,33.28,23.93,,,98.3,95.0,,5.5,,,,21.089,87.087,90.908,,,,,,,,79.898,11.111,,80.324,63.342,,,44.5,55.1,8.17,24.847,,16.642,,0.749,,,6.25,,,0.166,,,,,,,,,,,98.466,44.0,,,,,,2.351,,,,,,,,51.088,52.116,0.977,,14.67,48.584,,,,,,,12.448,,39.781,,
